ppg,art
30.049667,76.1116
30.049667,76.1116
30.444656,76.1116
30.444656,76.1116
30.83963,75.124176
31.23462,75.124176
32.41957,76.1116
33.604523,75.124176
34.78946,75.124176
37.554337,75.124176
41.10919,74.13669
44.26906,74.13669
47.8239,74.13669
52.95868,74.13669
57.69847,73.14926
62.438263,73.14926
66.38809,73.14926
70.73291,73.14926
74.68274,72.16177
76.65765,72.16177
77.84259,71.17435
79.02753,71.17435
79.02753,71.17435
77.05261,70.18686
75.47269,70.18686
73.89276,70.18686
71.52286,69.19943
69.152954,69.19943
66.78308,69.19943
65.203156,68.211945
62.833252,68.211945
60.858337,68.211945
59.27841,67.22452
58.093445,68.211945
56.51352,67.22452
54.933594,66.23703
53.353653,66.23703
51.773727,65.2496
50.193787,65.2496
48.218872,65.2496
46.243973,65.2496
44.664032,65.2496
43.084106,64.262115
41.10919,64.262115
39.92424,64.262115
38.73929,64.262115
37.949326,64.262115
37.159363,63.27469
36.3694,62.2872
36.3694,62.2872
35.97441,61.299774
35.579437,61.299774
35.579437,61.299774
35.97441,61.299774
35.97441,61.299774
35.97441,62.2872
35.579437,62.2872
35.579437,63.27469
35.18445,64.262115
35.18445,65.2496
