ppg,art
24.124924,144.24612
24.519913,141.28378
25.309875,139.30887
26.099838,137.33395
27.28479,137.33395
28.074753,135.35904
29.654694,135.35904
31.23462,134.37161
33.209534,131.40921
34.394485,126.471954
35.97441,122.522125
37.554337,117.58481
38.73929,114.62247
39.52925,112.64755
40.714203,112.64755
41.10919,112.64755
41.10919,113.63498
40.714203,114.62247
40.31923,115.60989
39.52925,115.60989
37.949326,115.60989
36.3694,115.60989
35.18445,115.60989
33.604523,115.60989
32.024582,116.59738
30.83963,116.59738
30.444656,117.58481
30.444656,116.59738
30.83963,116.59738
32.41957,116.59738
35.18445,114.62247
38.344315,113.63498
41.504166,113.63498
45.453995,112.64755
49.403824,111.660065
53.748642,110.67264
57.69847,108.69772
60.06836,107.710236
63.22824,105.73532
64.41318,104.747894
64.41318,104.747894
64.80817,103.76041
64.41318,103.76041
63.22824,102.77298
61.648285,102.77298
59.67337,101.78549
57.69847,99.81058
56.11853,99.81058
54.143616,100.798065
52.95868,99.81058
51.773727,100.798065
50.588776,101.78549
49.798813,101.78549
48.61386,100.798065
47.8239,100.798065
47.033936,100.798065
45.848984,100.798065
44.664032,99.81058
43.084106,99.81058
41.899155,100.798065
40.714203,99.81058
39.52925,99.81058
38.344315,98.82315
37.554337,98.82315
36.764374,98.82315
35.97441,98.82315
35.579437,98.82315
35.579437,98.82315
35.579437,97.83566
35.579437,98.82315
35.97441,99.81058
35.97441,100.798065
36.3694,104.747894
36.3694,108.69772
36.764374,114.62247
36.764374,120.54721
36.764374,127.45938
36.3694,131.40921
36.3694,136.34653
35.97441,139.30887
35.18445,141.28378
34.78946,143.2587
33.999496,144.24612
33.209534,147.20853
32.814545,148.19595
32.024582,150.17087
31.629608,150.17087
31.23462,150.17087
30.444656,148.19595
30.049667,145.23361
29.654694,143.2587
29.654694,141.28378
29.259705,141.28378
28.864716,141.28378
28.864716,142.27121
28.864716,141.28378
28.469742,140.2963
28.864716,137.33395
29.259705,134.37161
29.259705,130.42178
29.259705,127.45938
29.259705,123.50955
29.259705,120.54721
29.259705,118.572296
28.864716,117.58481
28.864716,117.58481
28.469742,116.59738
28.864716,116.59738
28.469742,116.59738
28.469742,116.59738
28.074753,116.59738
28.074753,116.59738
28.074753,116.59738
27.67978,117.58481
28.074753,117.58481
28.074753,117.58481
28.074753,117.58481
28.864716,117.58481
29.654694,117.58481
30.444656,117.58481
32.41957,116.59738
34.78946,114.62247
36.764374,114.62247
40.31923,113.63498
43.87407,112.64755
47.42891,111.660065
51.37874,111.660065
54.538605,110.67264
58.093445,108.69772
61.253326,107.710236
62.833252,106.72281
64.80817,105.73532
65.9931,104.747894
65.203156,104.747894
64.41318,104.747894
63.6232,104.747894
62.043274,104.747894
60.46335,103.76041
58.488434,102.77298
56.90851,102.77298
55.328568,102.77298
54.143616,101.78549
53.353653,101.78549
51.773727,102.77298
50.983765,102.77298
49.798813,100.798065
49.00885,100.798065
48.218872,99.81058
47.42891,99.81058
46.243973,100.798065
44.26906,100.798065
42.689117,99.81058
41.504166,100.798065
40.31923,98.82315
39.52925,99.81058
38.344315,99.81058
37.554337,100.798065
37.159363,102.77298
36.3694,102.77298
36.3694,103.76041
36.764374,104.747894
36.3694,105.73532
36.764374,106.72281
36.3694,110.67264
36.764374,116.59738
36.764374,122.522125
36.3694,131.40921
35.97441,138.32138
35.97441,144.24612
35.579437,148.19595
35.18445,148.19595
34.394485,148.19595
33.999496,148.19595
32.814545,148.19595
32.024582,149.18344
31.23462,150.17087
30.444656,151.15836
30.049667,151.15836
29.654694,151.15836
28.864716,149.18344
28.864716,146.22104
28.074753,144.24612
27.67978,142.27121
27.67978,140.2963
27.28479,139.30887
27.28479,139.30887
26.889801,139.30887
27.28479,137.33395
26.889801,134.37161
26.889801,131.40921
26.889801,128.44687
26.889801,124.49704
26.889801,121.53464
26.889801,119.55972
26.889801,118.572296
27.28479,117.58481
27.28479,117.58481
27.67978,118.572296
28.074753,119.55972
28.864716,120.54721
28.864716,121.53464
29.259705,121.53464
29.259705,120.54721
30.049667,120.54721
30.444656,119.55972
30.444656,119.55972
31.629608,119.55972
32.41957,118.572296
33.209534,117.58481
34.394485,116.59738
37.159363,114.62247
39.92424,113.63498
42.294144,111.660065
46.243973,110.67264
49.798813,109.68515
53.353653,108.69772
56.90851,109.68515
59.67337,109.68515
62.833252,109.68515
64.80817,110.67264
65.203156,111.660065
66.38809,111.660065
66.78308,112.64755
65.203156,112.64755
63.6232,112.64755
61.648285,111.660065
59.67337,108.69772
58.093445,106.72281
56.11853,105.73532
54.538605,105.73532
53.353653,106.72281
52.1687,108.69772
50.983765,108.69772
50.588776,108.69772
49.798813,107.710236
48.61386,104.747894
47.8239,100.798065
47.033936,99.81058
45.848984,98.82315
44.664032,100.798065
43.084106,101.78549
41.899155,103.76041
40.714203,103.76041
39.92424,102.77298
39.134277,101.78549
37.554337,99.81058
37.554337,98.82315
37.554337,97.83566
37.554337,99.81058
37.554337,104.747894
37.949326,108.69772
38.344315,116.59738
38.73929,123.50955
38.73929,132.3967
39.134277,138.32138
39.134277,144.24612
39.134277,148.19595
39.134277,150.17087
38.73929,152.14578
38.73929,153.13327
38.344315,154.1207
37.949326,154.1207
37.949326,155.10818
37.554337,154.1207
37.554337,153.13327
37.159363,151.15836
37.159363,150.17087
36.3694,149.18344
36.3694,147.20853
35.97441,146.22104
35.579437,145.23361
35.18445,143.2587
34.394485,142.27121
33.999496,140.2963
33.604523,139.30887
32.41957,137.33395
32.024582,134.37161
31.23462,130.42178
30.444656,126.471954
30.049667,123.50955
29.259705,120.54721
28.864716,118.572296
28.074753,117.58481
26.889801,118.572296
26.494827,119.55972
25.704865,121.53464
24.914886,122.522125
24.124924,122.522125
22.939972,122.522125
22.939972,121.53464
22.544998,121.53464
22.15001,120.54721
22.544998,120.54721
23.33496,119.55972
24.124924,119.55972
25.309875,117.58481
27.67978,117.58481
30.444656,116.59738
33.604523,114.62247
37.159363,113.63498
40.714203,111.660065
45.453995,110.67264
48.61386,109.68515
52.56369,108.69772
56.11853,109.68515
59.27841,109.68515
61.253326,108.69772
62.438263,108.69772
63.22824,107.710236
63.6232,107.710236
62.438263,108.69772
60.858337,106.72281
60.06836,105.73532
58.093445,105.73532
56.51352,105.73532
54.933594,106.72281
54.143616,106.72281
52.95868,105.73532
52.1687,106.72281
51.37874,105.73532
50.588776,105.73532
49.798813,103.76041
49.403824,102.77298
47.8239,102.77298
46.638947,101.78549
45.453995,103.76041
43.87407,103.76041
42.294144,103.76041
40.714203,103.76041
39.52925,102.77298
